Source,Destination,Weight,Timestamp
45,39,2,1292099160.9751
45,53,2,1292189306.47485
53,45,2,1292189412.5311
45,54,2,1292193828.31273
54,45,2,1292195062.40986
1,54,1,1292196392.21474
54,1,1,1292196407.13906
7,3,6,1292200462.1576
36,41,2,1292206237.08404
41,36,2,1292206272.45044
36,21,2,1292297572.76433
21,36,2,1292297608.09604
7,36,3,1292361185.86524
36,7,4,1292361298.90511
7,53,4,1292442401.75654
53,7,4,1292442432.71184
7,55,1,1292447857.20632
55,7,1,1292490376.23637
29,7,2,1292716197.42619
4,57,5,1292795818.34165
39,21,2,1292819158.23834
21,39,2,1292819328.73322
4,61,2,1292823618.44624
61,4,3,1292823672.32603
61,20,8,1292823684.25402
61,2,2,1292823727.667
35,65,1,1292920838.87248
65,35,2,1292935948.10307
56,1,2,1292957157.40408
1,56,2,1292957195.7147
4,66,2,1293050723.00352
66,4,2,1293054742.65514
21,7,5,1293191604.74618
7,20,4,1293409870.96218
35,69,1,1293448472.81444
35,70,1,1293448479.2438
39,69,2,1293453341.91475
69,39,2,1293453456.20721
69,35,2,1293453463.2234
1,71,1,1293481238.15303
71,1,8,1293481551.96527
7,28,2,1293481688.78585
28,7,1,1293482234.62328
4,72,4,1293523499.48644
1,74,1,1293579274.01007
74,1,1,1293579280.83393
41,75,1,1293583961.4875
68,64,1,1293603105.36008
76,7,1,1293604543.59049
7,76,1,1293604590.1113
7,19,5,1293632316.69358
32,23,1,1293643257.60649
23,32,1,1293646340.181
23,20,1,1293661055.82282
61,77,4,1293665840.7407
1,78,1,1293749573.83432
78,1,1,1293749669.21687
60,41,1,1293819840.40947
41,60,1,1293820339.69123
78,60,1,1293831460.95955
60,78,1,1293831479.76095
57,4,2,1293843254.06475
23,69,1,1293888120.91641
69,23,1,1293888137.47196
64,68,1,1293930357.98644
35,79,1,1293994479.85825
79,35,1,1293996991.46985
41,4,1,1294081163.014
4,41,1,1294081177.89816
1,68,2,1294083688.36895
68,1,2,1294083725.97495
69,28,3,1294126590.415
28,69,3,1294152392.91925
64,80,1,1294190542.60702
17,81,1,1294192094.04763
81,17,1,1294192614.67232
69,62,1,1294244410.4263
62,69,1,1294249080.61302
41,83,1,1294262869.27706
41,104,1,1294267264.64071
83,41,1,1294267277.04065
41,86,1,1294271217.57214
86,41,1,1294274023.32141
104,41,1,1294285068.74772
4,87,1,1294300030.22996
87,4,1,1294300186.31404
81,69,2,1294395970.3296
69,81,2,1294396076.49534
41,89,1,1294426072.97569
89,41,1,1294429629.84466
60,87,1,1294429932.32732
87,60,1,1294429999.78412
7,89,2,1294438542.46541
89,7,2,1294439193.84082
64,94,1,1294546375.24239
41,70,1,1294595719.20179
94,64,1,1294599138.54006
70,95,1,1294600321.90078
95,70,3,1294600354.23511
70,41,1,1294600355.24831
70,35,1,1294600362.03195
39,17,3,1294689381.25255
17,39,1,1294689438.39491
70,96,1,1294788721.90836
96,70,3,1294854693.16331
15,97,2,1294919858.69515
97,15,2,1294927076.83628
69,99,4,1294947596.86945
99,69,1,1294953308.35973
88,7,3,1294974057.98044
1,81,1,1294982042.23521
70,15,1,1294996843.91845
15,70,1,1295011593.79396
81,1,1,1295060559.46632
1,101,1,1295163873.99206
62,54,2,1295213497.49792
54,62,2,1295213513.50181
101,1,1,1295219864.74438
100,101,1,1295223074.80015
101,103,1,1295223955.11582
80,25,2,1295282631.45186
100,60,2,1295394666.14979
39,4,1,1295416559.00524
4,39,1,1295416571.50888
41,105,1,1295460035.88087
72,4,4,1295507765.13172
96,106,1,1295538196.77426
106,96,1,1295560693.07907
81,107,2,1295620829.44948
107,81,3,1295622238.77534
60,108,1,1295647515.55323
108,60,1,1295647536.52286
97,68,1,1295720115.42616
68,97,1,1295720324.59948
96,107,2,1295806593.89702
7,109,1,1295847189.68733
109,7,1,1295847197.87082
41,110,1,1295990232.96892
41,68,1,1295995414.74313
68,41,1,1295995480.14498
107,96,2,1296071385.99524
23,7,5,1296076062.49974
7,111,1,1296085723.47309
111,7,1,1296085847.78287
64,112,2,1296096741.77722
112,64,2,1296096768.61653
112,77,1,1296163310.87274
112,115,2,1296163344.67709
112,60,4,1296163403.15362
60,112,4,1296164244.66224
109,39,1,1296229412.30641
39,109,1,1296229420.53809
6,114,2,1296291457.0187
114,39,1,1296291483.02942
6,32,1,1296291723.90977
39,114,1,1296291878.91863
47,7,1,1296512060.00051
1,119,1,1296512102.9696
119,1,10,1296513384.09698
100,1,3,1296513427.30484
100,7,4,1296528583.06603
7,100,2,1296528668.83435
7,47,1,1296528718.47876
7,122,1,1296553673.17861
122,7,1,1296553681.63051
23,108,1,1296579082.73748
108,23,1,1296579092.82596
108,104,1,1296580101.4228
104,108,1,1296580127.98678
60,56,2,1296595302.62143
115,77,3,1296601381.26798
119,127,10,1296608630.85714
119,25,1,1296609273.32248
1,2,8,1296629343.62073
1,76,2,1296631215.11468
76,1,2,1296631324.44843
1,23,6,1296657671.10019
54,129,1,1296682612.84857
116,7,2,1296688733.36417
7,116,2,1296688773.26321
54,13,2,1296690713.9312
13,54,2,1296690764.78868
77,39,3,1296754197.20889
77,15,1,1296754335.65361
77,6,3,1296754391.49849
77,1,3,1296754396.24231
77,23,1,1296754414.29012
77,28,3,1296754435.61868
77,115,3,1296754444.14572
77,112,1,1296754511.90955
77,131,1,1296754599.04721
77,61,3,1296754644.6621
129,54,1,1296758779.86266
54,2,2,1296769471.34734
2,54,2,1296769494.33436
127,119,10,1296772979.27922
127,132,1,1296773129.83712
132,127,2,1296774360.49458
7,133,1,1296792123.6835
133,7,1,1296792359.704
105,41,1,1296837862.5248
41,64,1,1296868252.526
64,41,1,1296868317.36329
57,110,1,1296870068.1895
113,125,2,1296884305.28705
125,113,2,1296884644.81214
54,7,6,1296913225.27207
7,54,5,1296913557.93463
113,23,2,1296927382.06491
113,135,2,1296927424.46441
135,113,2,1296927623.98348
78,36,2,1297093748.02624
36,78,2,1297093804.32766
2,132,2,1297102509.39137
132,2,2,1297102585.30881
96,15,4,1297187359.235
110,57,1,1297197836.3746
110,41,1,1297197843.90423
132,28,1,1297206554.68267
28,132,1,1297207240.84724
111,1,1,1297291837.5104
132,134,1,1297301158.11584
134,132,1,1297301164.4001
132,100,1,1297308204.52492
100,132,1,1297308356.09497
41,137,1,1297315440.13542
15,96,3,1297359911.12964
137,41,1,1297367601.17088
7,137,1,1297370441.70883
137,7,1,1297371118.2643
1,138,1,1297373817.09734
138,1,1,1297374204.87255
132,138,1,1297378806.44562
138,132,1,1297378871.13707
100,111,1,1297385761.43817
111,100,1,1297385922.89955
100,64,1,1297386367.25667
64,100,1,1297386418.35483
41,140,1,1297461521.01176
140,41,1,1297462874.48356
7,60,5,1297467512.37907
60,100,2,1297479764.51934
7,141,2,1297482206.04112
141,134,5,1297489409.50331
134,141,5,1297494046.21813
141,7,3,1297494086.69858
132,21,5,1297533099.47819
139,132,1,1297533751.04344
132,139,1,1297534217.73791
78,132,3,1297550942.57838
2,3,8,1297570107.33404
132,142,1,1297621909.86333
142,132,1,1297626301.05187
110,142,1,1297626584.94084
1,110,1,1297627293.10108
110,1,1,1297627348.99267
142,110,1,1297628387.63165
110,76,2,1297644400.67612
2,142,1,1297647973.79808
142,2,1,1297647979.65596
110,143,1,1297652993.62903
143,110,1,1297653023.0515
75,132,1,1297686544.7679
110,134,1,1297722488.03348
134,110,1,1297723090.50627
132,144,1,1297734450.42201
144,132,1,1297734459.94641
1,145,1,1297789863.89503
145,1,1,1297789935.51858
146,2,1,1297807903.35418
60,147,1,1297809191.75732
41,148,1,1297812539.28516
148,41,1,1297812615.38151
23,113,4,1297815736.60998
21,132,2,1297824884.76968
93,81,2,1297844414.54098
78,149,1,1297866186.48689
149,150,1,1297866223.36195
150,149,1,1297866274.16062
132,75,1,1297872866.38282
2,110,1,1297878331.02521
110,2,1,1297878338.83964
110,144,1,1297878360.64792
144,110,1,1297878526.43474
41,147,1,1297882010.56212
147,41,1,1297882595.23626
132,152,1,1297886091.49672
104,153,2,1297893560.04423
81,93,3,1297907214.44135
152,154,1,1297908772.11966
154,152,2,1297908772.2987
152,75,1,1297908985.0441
110,155,1,1297910664.51101
132,156,4,1297911997.64031
156,132,4,1297912087.2256
132,113,3,1297915803.12114
113,132,3,1297915880.11482
155,110,1,1297915937.36182
41,157,1,1297959915.11871
157,41,1,1297961344.45289
149,132,1,1297976227.00216
132,149,1,1297976241.97774
113,158,1,1297976422.39242
158,113,2,1297976428.09406
56,7,3,1297980364.62058
7,56,3,1297980493.92464
41,132,1,1298044125.36115
153,104,2,1298047000.34432
132,41,1,1298054259.082
114,1,2,1298056076.44243
1,114,2,1298061893.74143
1,111,2,1298062294.48387
60,160,1,1298072059.67671
160,60,1,1298072081.95273
114,149,1,1298128067.61391
149,114,1,1298130582.32069
114,146,1,1298146050.01677
78,146,1,1298146920.37648
146,78,1,1298147261.90571
122,78,1,1298147284.26115
132,78,3,1298147302.06896
146,114,1,1298147389.6971
114,21,1,1298169867.27033
7,161,3,1298169938.52399
161,7,3,1298169949.76348
21,114,1,1298176196.50247
132,104,1,1298252029.59932
104,132,1,1298252036.65929
132,157,2,1298265265.40787
157,132,2,1298265838.45333
1,7,9,1298267256.42074
7,1,7,1298267346.36932
132,162,1,1298311685.25666
162,132,1,1298311859.99465
41,163,1,1298314076.7642
163,41,1,1298314093.59449
41,162,1,1298315497.57346
162,41,1,1298315517.02448
2,149,1,1298346435.18333
149,2,1,1298346449.83965
75,41,2,1298399915.40633
143,81,1,1298431338.72708
143,80,1,1298431427.57506
80,143,1,1298431543.83973
1,165,1,1298487310.22405
165,1,1,1298487318.2625
152,166,1,1298513462.94598
166,152,1,1298513680.51537
2,166,1,1298520615.60603
166,2,1,1298520693.71134
110,104,1,1298577705.04351
41,167,1,1298584878.7568
167,41,1,1298584913.75006
41,168,1,1298589589.74716
168,41,1,1298589707.36911
132,169,2,1298611411.8562
169,132,2,1298611459.2624
81,149,1,1298623979.12249
142,170,1,1298645238.44312
170,142,1,1298645445.29018
45,171,2,1298646564.1419
171,45,2,1298647569.99753
64,166,1,1298653534.32262
166,64,1,1298653559.5885
113,166,1,1298654517.41338
166,113,1,1298654517.67884
60,104,2,1298654789.70468
60,172,1,1298657430.1608
64,3,1,1298665050.04055
113,173,2,1298665394.71677
173,113,1,1298667151.55806
41,174,1,1298667648.20343
172,60,1,1298667687.63676
166,156,2,1298694079.99209
156,166,2,1298694137.71932
175,7,2,1298708156.9605
45,176,3,1298740675.71722
161,144,1,1298757244.9581
144,161,1,1298757268.91873
7,166,1,1298759550.40835
161,177,1,1298778315.23466
177,161,1,1298778361.05062
149,129,1,1298795455.87274
129,149,1,1298795468.73169
144,178,1,1298843671.57232
178,144,1,1298843683.57829
75,1,2,1298844200.38302
75,179,1,1298844210.44139
179,75,1,1298844224.27972
75,62,2,1298844292.26319
62,75,2,1298844298.06062
143,173,1,1298874597.88921
149,173,1,1298874793.4339
173,149,1,1298874964.12214
173,143,1,1298875015.9994
166,180,1,1298878912.59071
180,166,1,1298878996.51595
174,41,1,1298880775.10185
149,81,3,1298898116.56088
144,143,1,1298926935.42354
143,144,1,1298927097.42467
60,148,2,1298928760.87298
148,60,2,1298928785.24844
2,156,1,1298929715.26896
156,2,1,1298929724.58619
1,19,6,1298950354.24875
132,181,1,1299031253.02273
181,132,1,1299031290.36311
135,181,1,1299032633.45305
181,135,1,1299032672.09509
132,159,1,1299034389.95688
159,132,1,1299034411.42346
135,143,1,1299038270.00007
143,135,1,1299038484.57114
148,182,1,1299041120.30215
182,148,1,1299041133.74616
144,181,1,1299041571.84638
181,144,1,1299041643.76656
181,183,2,1299043467.00321
183,181,2,1299043551.71672
143,183,1,1299044294.86964
183,143,1,1299044403.24181
142,64,1,1299085320.83416
64,142,1,1299085332.11705
184,7,2,1299087811.16481
7,184,2,1299088214.0403
80,7,1,1299088418.20491
7,78,1,1299093649.42249
78,7,1,1299093674.94716
147,179,1,1299101381.01691
179,147,1,1299103258.85242
7,185,1,1299151907.92823
185,7,1,1299152111.95803
176,45,1,1299178292.56269
183,186,1,1299204600.79527
186,183,1,1299204728.25571
135,187,1,1299204954.18879
187,135,1,1299205271.37817
33,7,2,1299206112.20518
7,33,2,1299206119.67434
78,144,3,1299275608.11165
7,188,1,1299283600.03025
188,7,1,1299283609.0378
104,189,2,1299289949.53986
189,104,2,1299290475.70162
104,190,1,1299304119.32378
190,104,1,1299304159.52682
104,110,2,1299436669.14931
104,191,1,1299438045.59458
191,104,1,1299438055.41055
104,113,1,1299446922.31054
113,104,1,1299446966.29133
6,173,3,1299447999.63164
110,7,1,1299490927.29325
104,171,1,1299521852.61123
171,104,1,1299526904.15252
143,192,1,1299530754.61514
192,143,1,1299530789.68515
60,159,2,1299531271.8705
159,60,2,1299531324.89171
2,1,8,1299556897.11787
57,25,2,1299557057.61949
60,178,2,1299612557.68516
7,35,2,1299679074.43262
60,193,1,1299680713.48263
193,60,1,1299690391.59665
60,194,1,1299695064.64841
194,178,1,1299695092.12404
194,60,1,1299695193.58884
178,194,1,1299696030.98944
7,195,1,1299732938.35009
195,7,1,1299732959.82189
29,60,2,1299735274.57295
62,196,1,1299758045.42469
196,62,1,1299758069.10407
60,29,2,1299767299.46624
60,191,4,1299770716.79434
7,156,1,1299912911.49571
156,7,1,1299912916.6564
60,198,1,1299950085.78986
60,199,1,1299985463.22153
199,60,1,1299985655.09101
7,200,2,1300015561.6701
200,7,2,1300015951.74518
132,198,2,1300042936.98914
198,132,1,1300043117.64593
35,7,2,1300184211.54803
194,201,1,1300209236.17869
201,194,1,1300211126.02863
100,202,1,1300226423.7699
202,100,1,1300226820.80052
142,203,1,1300231849.32684
203,142,1,1300232683.219
7,204,1,1300232688.61261
142,60,1,1300233490.26657
7,110,3,1300240396.64097
60,205,1,1300244368.07308
206,201,1,1300261803.24489
201,206,1,1300262138.70326
207,7,2,1300292102.85217
200,62,1,1300330194.91876
60,75,3,1300332304.32471
75,60,3,1300332465.49224
75,7,3,1300333012.95413
60,209,3,1300402382.46128
7,210,1,1300411884.69399
210,7,1,1300414645.92746
142,143,2,1300459755.42946
143,142,2,1300459768.82549
60,142,1,1300473495.35943
7,206,2,1300568050.6267
149,209,1,1300652885.59238
120,7,5,1300708855.39164
7,207,3,1300720137.00426
7,96,1,1300745124.00214
104,179,-1,1300756036.36913
200,179,-1,1300756138.39013
149,179,-1,1300756261.61723
96,7,2,1300789107.18729
56,60,2,1300815962.85964
202,211,1,1300839352.59369
200,13,1,1300839891.18732
13,200,1,1300839913.56754
211,202,1,1300844813.10287
104,149,1,1300847913.88432
149,104,1,1300848458.62375
104,60,3,1300857385.78325
149,62,1,1300864405.05485
167,211,1,1300869245.91488
206,7,2,1300922187.70427
202,212,1,1300928213.78487
212,202,1,1300928240.52163
212,209,1,1300931572.43768
60,212,4,1300933559.35294
212,60,4,1300933628.40347
101,134,1,1300933841.61542
60,213,2,1300933940.81493
213,60,2,1300934003.34278
134,101,1,1300934772.96625
212,7,1,1300936616.54053
212,132,1,1300936648.23633
212,29,1,1300937004.55166
143,153,1,1300997414.74007
153,143,2,1300998238.60245
35,110,2,1301003730.28041
135,214,1,1301005357.37453
143,215,1,1301019703.69875
215,143,1,1301019908.37738
29,212,1,1301020983.01394
7,212,1,1301023265.29454
135,152,1,1301029977.05713
7,179,-1,1301032557.19767
39,149,4,1301053223.02334
149,39,4,1301053275.06746
214,216,1,1301084932.76856
216,214,1,1301086321.13469
174,112,1,1301089005.69938
153,202,1,1301105775.10627
29,120,2,1301142985.03367
60,217,2,1301148833.16292
60,218,1,1301149633.64025
218,60,1,1301149695.18141
209,212,1,1301167471.06378
217,60,2,1301168075.27677
217,3,5,1301168216.3998
135,179,-1,1301193533.06173
176,219,1,1301235483.09664
219,176,1,1301235508.69089
219,110,1,1301235545.31582
176,220,1,1301245064.58624
1,223,7,1301329948.91762
60,1,7,1301333077.92972
60,7,7,1301333083.16938
39,2,8,1301333302.87472
202,176,1,1301339345.99901
176,202,1,1301339497.00076
60,224,4,1301341025.09
1,225,1,1301354601.2876
225,1,1,1301354685.48414
225,209,1,1301354726.36129
29,1,4,1301365737.22085
29,219,1,1301365871.60088
219,29,1,1301366024.41918
1,132,1,1301366233.10452
1,227,1,1301369843.28328
227,1,1,1301369929.12868
60,228,1,1301439895.52296
225,45,1,1301447178.01603
60,214,2,1301453104.26438
199,185,1,1301513674.37768
185,199,1,1301514094.92735
60,230,1,1301521482.93868
60,231,1,1301522462.81942
231,60,1,1301523090.45585
7,232,3,1301569599.51207
1,104,1,1301600149.38126
104,1,2,1301600346.82901
33,1,8,1301607874.4924
62,149,1,1301613622.54372
29,171,1,1301617653.67475
206,233,1,1301618418.8494
233,206,1,1301618444.55443
232,7,2,1301630013.46087
60,208,3,1301683978.58539
208,60,3,1301684509.79047
206,234,1,1301694942.53723
234,206,1,1301695371.53818
235,7,5,1301744132.96548
222,7,2,1301774795.68179
104,202,3,1301785228.57015
202,104,3,1301785244.12798
202,236,1,1301820795.67287
236,202,1,1301821269.51203
202,237,1,1301827089.371
237,202,10,1301827807.72056
149,238,1,1301863197.31473
238,149,1,1301863380.16357
39,239,1,1301866633.93795
239,64,1,1301866651.50438
239,39,1,1301866658.16656
202,135,2,1301897258.59866
135,202,2,1301897279.19406
2,7,5,1301898700.00283
2,60,5,1301898705.01812
2,62,8,1301898738.21734
2,77,2,1301898759.93158
7,2,5,1301899167.88298
7,39,5,1301899174.23402
7,41,5,1301899185.05481
7,21,5,1301899226.79428
7,72,2,1301899299.67572
7,62,6,1301899326.87125
208,62,1,1301901227.83931
206,240,1,1301901459.51033
240,206,2,1301901471.90318
62,208,1,1301901475.36796
231,241,1,1301936770.23107
39,143,2,1301938972.97953
143,39,2,1301939041.53778
241,231,1,1301941162.33583
60,242,6,1301945086.58244
242,60,6,1301945156.92203
135,2,1,1301972936.39276
204,7,1,1301973637.93208
1,64,3,1301975394.34679
64,1,3,1301975615.66909
202,244,1,1301998379.28746
244,60,2,1301999041.33397
202,56,1,1302005850.75124
56,202,1,1302005904.06754
164,60,5,1302011702.12912
60,164,5,1302011716.65014
204,80,1,1302012515.57348
56,114,1,1302012678.63861
149,80,5,1302016172.14603
1,245,1,1302017978.22264
241,80,3,1302025647.35766
35,246,1,1302027410.92431
246,35,1,1302027786.63124
1,247,1,1302043777.83291
247,1,1,1302043935.46555
80,241,3,1302044439.63816
80,64,1,1302044526.12678
80,204,1,1302044550.36239
80,149,5,1302044581.24267
80,81,8,1302044652.10865
228,60,2,1302055573.88593
72,21,1,1302069957.59209
35,248,2,1302082638.35105
248,35,2,1302082712.11024
244,245,2,1302096657.23576
245,244,2,1302097036.37516
245,250,1,1302103935.61212
250,245,1,1302103959.46268
60,251,1,1302107640.20041
60,250,3,1302108245.39571
250,60,3,1302108321.25808
7,175,2,1302112511.70515
166,206,1,1302117349.64077
206,166,1,1302117447.02989
60,244,4,1302121400.1563
166,158,1,1302132473.03542
215,249,1,1302136505.95479
249,215,1,1302136666.07502
60,243,5,1302203707.81714
243,60,6,1302203835.70195
60,252,1,1302204154.31343
252,60,1,1302204187.96469
253,95,1,1302212934.15979
143,7,5,1302236703.97441
7,143,4,1302236754.91664
1,234,1,1302237679.6853
234,1,1,1302237928.02605
251,245,1,1302246462.50509
245,251,1,1302246492.70812
60,88,2,1302278539.02512
88,60,4,1302279515.49002
88,104,3,1302279761.22593
104,88,3,1302287609.45711
60,255,1,1302289159.55323
255,60,1,1302289547.82167
29,251,2,1302290506.1325
166,7,3,1302290513.17185
251,29,2,1302290516.59398
251,60,5,1302292040.5721
251,1,5,1302292044.59373
251,202,5,1302292056.33274
1,251,2,1302292173.95028
164,163,1,1302292905.39664
206,256,1,1302296393.61884
256,206,1,1302296410.68733
60,257,10,1302296668.90613
6,258,1,1302322673.83153
258,6,1,1302322871.16228
64,219,1,1302323406.62678
258,259,1,1302333277.12914
259,258,2,1302335098.12836
1,260,1,1302449430.17889
7,260,4,1302449755.37367
1,261,1,1302453499.78746
261,1,1,1302454856.85179
202,158,1,1302482453.1886
256,153,1,1302495086.26435
202,240,2,1302496979.47426
240,202,2,1302496999.18794
244,113,1,1302530478.1929
244,114,1,1302534403.24766
207,262,1,1302543865.71495
262,207,1,1302543928.24847
23,263,2,1302565807.95899
60,264,4,1302617059.0161
60,265,4,1302617703.32199
265,60,4,1302618615.20687
149,266,1,1302639445.78691
266,149,1,1302639465.88425
35,267,1,1302639584.04456
267,35,1,1302639594.24471
202,141,1,1302641206.60453
141,202,1,1302641237.23526
6,268,3,1302648708.99925
266,60,5,1302648768.56717
229,215,1,1302652617.51579
215,229,1,1302652619.89266
141,41,1,1302659093.709
242,141,1,1302659161.53761
141,242,1,1302659185.59919
215,221,2,1302659794.35446
268,6,3,1302659889.30505
221,215,2,1302660915.73231
221,269,1,1302660923.43809
269,221,1,1302661144.3117
269,3,1,1302661676.62094
41,141,1,1302666289.3934
60,269,1,1302707523.2397
153,7,1,1302713671.69297
249,167,1,1302722251.86399
221,171,1,1302725616.99514
1,109,1,1302729569.61908
202,230,1,1302740432.54859
171,221,1,1302745364.87522
171,235,2,1302747220.14808
235,171,1,1302747939.81542
64,7,3,1302750631.70804
177,1,4,1302752567.01549
60,77,4,1302790887.38111
149,25,10,1302791427.3307
1,271,1,1302800924.19661
271,1,1,1302800937.45189
221,272,1,1302814706.88712
272,221,1,1302814788.93336
202,153,4,1302817543.85249
60,261,2,1302818032.37702
261,60,2,1302818176.74099
60,273,2,1302818420.69705
23,231,1,1302820322.40181
7,243,4,1302824119.085
230,202,2,1302825832.23655
144,78,5,1302842625.08982
144,153,1,1302842652.67125
269,7,1,1302845151.17931
7,269,1,1302845532.66568
1,274,1,1302847189.76303
274,1,1,1302847200.44657
141,1,2,1302881091.40027
1,141,1,1302881463.21927
141,273,1,1302881660.53253
141,275,1,1302881716.56255
60,276,3,1302882663.48147
276,60,3,1302882727.21246
141,256,1,1302883016.61397
270,277,1,1302883800.22379
256,141,1,1302885177.36545
277,270,1,1302887909.58358
202,127,1,1302888454.20976
167,249,1,1302895949.56359
275,141,1,1302902855.06206
221,202,4,1302904462.42451
202,221,4,1302904613.50992
221,64,1,1302906349.12986
206,221,1,1302917070.79383
221,206,1,1302918774.91556
273,60,3,1302920250.19332
60,279,2,1302923640.05259
219,64,5,1302923672.39342
219,109,1,1302923731.87447
219,21,5,1302924030.13264
279,60,8,1302924331.03873
202,278,3,1302928520.55802
278,202,3,1302928586.56327
206,29,1,1302932650.78467
29,206,1,1302932675.14829
280,281,1,1302933257.32159
206,282,1,1302933285.10365
242,274,1,1302933633.32301
282,206,1,1302933663.71517
283,284,10,1302958659.96369
7,240,2,1302970025.95609
7,285,1,1302978023.97721
202,286,1,1302978044.28952
286,202,1,1302978081.78907
256,287,1,1302990371.15432
287,256,1,1302991007.04608
202,288,1,1302995384.62134
288,202,1,1302995611.55773
257,265,4,1303021207.75337
257,242,5,1303021210.01436
257,104,5,1303021213.96774
257,60,5,1303021221.59123
202,134,2,1303021542.45496
134,202,1,1303022826.24276
37,219,2,1303055665.67399
219,37,2,1303055677.04459
290,215,1,1303064582.67538
215,290,1,1303064621.364
284,283,10,1303064666.45267
245,291,1,1303066398.74266
291,245,1,1303066422.7527
292,202,1,1303076403.988
217,149,1,1303080084.25373
149,217,1,1303080211.60651
224,257,4,1303080730.55375
224,60,5,1303080818.11106
224,144,1,1303081272.30198
144,224,1,1303081506.88679
224,171,1,1303083553.72312
171,224,1,1303083824.63758
135,293,1,1303084783.03146
21,60,5,1303085826.86171
199,104,1,1303090859.30757
7,294,1,1303099054.93551
294,7,1,1303099322.50252
293,204,1,1303113301.68098
204,293,1,1303113398.11481
231,28,1,1303114586.23407
274,295,2,1303115280.50916
295,274,2,1303115648.8389
202,292,1,1303121613.1391
249,64,1,1303136046.42943
230,101,2,1303154040.49594
1,296,1,1303161461.95713
64,249,1,1303168886.31513
229,297,1,1303168898.16831
297,229,1,1303168905.59715
4,282,2,1303175312.55388
282,4,2,1303175839.85251
298,299,1,1303192071.75571
299,298,1,1303192108.97372
257,29,5,1303197787.15083
271,202,1,1303205377.55264
202,271,1,1303205387.07125
272,7,2,1303251534.06528
7,272,2,1303251550.345
37,301,1,1303252801.98936
301,37,1,1303252805.75341
60,299,2,1303253191.86247
299,60,3,1303253327.18892
29,302,1,1303256262.8433
135,303,1,1303256893.33403
303,135,1,1303256975.46436
64,301,1,1303257293.9611
301,64,1,1303257295.45308
214,60,3,1303257371.27207
29,304,1,1303258734.82521
304,29,1,1303258968.10963
7,254,1,1303263457.99911
254,7,1,1303263494.46938
17,254,1,1303264358.25127
7,135,2,1303269567.19431
284,21,1,1303278095.6189
282,305,1,1303280196.19433
305,282,1,1303280237.42379
282,306,1,1303282173.97886
306,282,1,1303282190.53093
60,229,2,1303338920.24671
229,60,2,1303338935.30631
144,282,1,1303342751.31404
282,144,1,1303342876.66572
206,307,1,1303344910.5805
39,308,2,1303345804.65132
307,206,1,1303348286.09602
1,180,1,1303356386.92155
180,1,1,1303356404.35379
235,20,1,1303357170.26507
29,198,1,1303359602.70177
198,29,1,1303359614.46297
198,60,2,1303360208.24803
29,274,2,1303361096.159
280,29,1,1303361103.80481
274,29,2,1303361107.1509
29,280,1,1303361108.41975
202,206,3,1303361238.56362
206,202,3,1303361248.8609
274,204,1,1303377388.76064
204,274,1,1303377420.19429
204,186,2,1303387704.0627
186,204,2,1303387833.90276
7,266,2,1303391987.2434
